OG0006611																						Pech|nbis-mrna-10542, Pech|nbis-mrna-11342, Pech|nbis-mrna-1164, Pech|nbis-mrna-11662, Pech|nbis-mrna-1171, Pech|nbis-mrna-13368, Pech|nbis-mrna-14240, Pech|nbis-mrna-14620, Pech|nbis-mrna-14914, Pech|nbis-mrna-15731, Pech|nbis-mrna-16086, Pech|nbis-mrna-1613, Pech|nbis-mrna-17002, Pech|nbis-mrna-17470, Pech|nbis-mrna-17644, Pech|nbis-mrna-18383, Pech|nbis-mrna-18712, Pech|nbis-mrna-21162, Pech|nbis-mrna-2534, Pech|nbis-mrna-4555, Pech|nbis-mrna-5052, Pech|nbis-mrna-5879, Pech|nbis-mrna-6204, Pech|nbis-mrna-6506, Pech|nbis-mrna-653, Pech|nbis-mrna-6725, Pech|nbis-mrna-8901, Pech|nbis-mrna-9239, Pech|nbis-mrna-9875	Rpac|RPACG00000033696.1					
OG0008430																		Oalv|OALVG00000000151.1, Oalv|OALVG00000000856.1, Oalv|OALVG00000000863.1, Oalv|OALVG00000000867.1, Oalv|OALVG00000000874.1, Oalv|OALVG00000000875.1, Oalv|OALVG00000006820.1, Oalv|OALVG00000006823.1, Oalv|OALVG00000006826.1, Oalv|OALVG00000006829.1, Oalv|OALVG00000021621.1, Oalv|OALVG00000026570.1, Oalv|OALVG00000026571.1, Oalv|OALVG00000031246.1, Oalv|OALVG00000031247.1, Oalv|OALVG00000031249.1				Pech|nbis-mrna-12994, Pech|nbis-mrna-6752	Rpac|RPACG00000001150.1, Rpac|RPACG00000001151.1, Rpac|RPACG00000013788.1, Rpac|RPACG00000013790.1, Rpac|RPACG00000013793.1, Rpac|RPACG00000029262.1, Rpac|RPACG00000029264.1, Rpac|RPACG00000029265.1					
OG0008762																						Pech|nbis-mrna-1178	Rpac|RPACG00000031174.1, Rpac|RPACG00000031178.1, Rpac|RPACG00000031179.1, Rpac|RPACG00000031181.1, Rpac|RPACG00000031182.1, Rpac|RPACG00000031183.1, Rpac|RPACG00000031187.1, Rpac|RPACG00000031188.1, Rpac|RPACG00000031192.1, Rpac|RPACG00000031194.1, Rpac|RPACG00000031195.1, Rpac|RPACG00000031196.1, Rpac|RPACG00000031197.1, Rpac|RPACG00000031198.1, Rpac|RPACG00000031199.1, Rpac|RPACG00000031200.1, Rpac|RPACG00000031201.1, Rpac|RPACG00000031202.1, Rpac|RPACG00000031203.1, Rpac|RPACG00000031204.1, Rpac|RPACG00000035171.1, Rpac|RPACG00000035182.1, Rpac|RPACG00000035183.1, Rpac|RPACG00000035184.1					
OG0010547																		Oalv|OALVG00000003997.1, Oalv|OALVG00000004019.1, Oalv|OALVG00000004024.1, Oalv|OALVG00000004041.1, Oalv|OALVG00000004050.1, Oalv|OALVG00000004236.1, Oalv|OALVG00000004374.1, Oalv|OALVG00000009800.1, Oalv|OALVG00000011061.1, Oalv|OALVG00000011069.1, Oalv|OALVG00000011074.1, Oalv|OALVG00000012320.1, Oalv|OALVG00000012321.1, Oalv|OALVG00000019296.1, Oalv|OALVG00000029833.1, Oalv|OALVG00000035267.1				Pech|nbis-mrna-12250, Pech|nbis-mrna-19053	Rpac|RPACG00000003862.1					
OG0010836																		Oalv|OALVG00000000648.1				Pech|nbis-mrna-10411, Pech|nbis-mrna-10431, Pech|nbis-mrna-12227, Pech|nbis-mrna-15316, Pech|nbis-mrna-19797, Pech|nbis-mrna-20449, Pech|nbis-mrna-20450, Pech|nbis-mrna-2502, Pech|nbis-mrna-437, Pech|nbis-mrna-4627, Pech|nbis-mrna-5964, Pech|nbis-mrna-6751, Pech|nbis-mrna-7724, Pech|nbis-mrna-9970	Rpac|RPACG00000022217.1, Rpac|RPACG00000033053.1, Rpac|RPACG00000033054.1					
OG0011780																		Oalv|OALVG00000004272.1, Oalv|OALVG00000004883.1, Oalv|OALVG00000004884.1, Oalv|OALVG00000004885.1, Oalv|OALVG00000004886.1, Oalv|OALVG00000004887.1, Oalv|OALVG00000004888.1, Oalv|OALVG00000010602.1, Oalv|OALVG00000010604.1, Oalv|OALVG00000010605.1, Oalv|OALVG00000013672.1, Oalv|OALVG00000013673.1, Oalv|OALVG00000013674.1				Pech|nbis-mrna-2157	Rpac|RPACG00000017556.1					
OG0011781																		Oalv|OALVG00000015849.1, Oalv|OALVG00000015850.1, Oalv|OALVG00000015851.1, Oalv|OALVG00000015852.1				Pech|nbis-mrna-5675	Rpac|RPACG00000012552.1, Rpac|RPACG00000012554.1, Rpac|RPACG00000012556.1, Rpac|RPACG00000012658.1, Rpac|RPACG00000012659.1, Rpac|RPACG00000012660.1, Rpac|RPACG00000012661.1, Rpac|RPACG00000012662.1, Rpac|RPACG00000032894.1, Rpac|RPACG00000032896.1					
OG0012160																		Oalv|OALVG00000010701.1, Oalv|OALVG00000010709.1, Oalv|OALVG00000015282.1, Oalv|OALVG00000015283.1				Pech|nbis-mrna-11288, Pech|nbis-mrna-11289, Pech|nbis-mrna-11290, Pech|nbis-mrna-16048, Pech|nbis-mrna-19763, Pech|nbis-mrna-21736, Pech|nbis-mrna-3255, Pech|nbis-mrna-33	Rpac|RPACG00000034256.1, Rpac|RPACG00000034257.1					
OG0012177																						Pech|nbis-mrna-15635	Rpac|RPACG00000007571.1, Rpac|RPACG00000010313.1, Rpac|RPACG00000020606.1, Rpac|RPACG00000020607.1, Rpac|RPACG00000021785.1, Rpac|RPACG00000021943.1, Rpac|RPACG00000021961.1, Rpac|RPACG00000024029.1, Rpac|RPACG00000024030.1, Rpac|RPACG00000026121.1, Rpac|RPACG00000026122.1, Rpac|RPACG00000026313.1, Rpac|RPACG00000035187.1					
OG0012616																		Oalv|OALVG00000030930.1, Oalv|OALVG00000031228.1, Oalv|OALVG00000031229.1, Oalv|OALVG00000031230.1				Pech|nbis-mrna-2320, Pech|nbis-mrna-2321, Pech|nbis-mrna-4336	Rpac|RPACG00000033694.1, Rpac|RPACG00000033695.1, Rpac|RPACG00000033697.1, Rpac|RPACG00000033698.1, Rpac|RPACG00000033699.1, Rpac|RPACG00000035860.1					
