target_id	body	roots	
OFRAG00000000149.1	1.14436	0.821037
OFRAG00000000150.1	0.402091	0.933197
OFRAG00000000151.1	4.56974	1.64654
OFRAG00000000152.1	0.4655	1.5104
OFRAG00000000153.1	2.40663	2.7039
OFRAG00000000154.1	11.4902	11.4262
OFRAG00000000155.1	107.282	42.6879
OFRAG00000000156.1	22.8975	22.3659
OFRAG00000000157.1	1.7434	1.29423
OFRAG00000000158.1	0	0.0560841
OFRAG00000000159.1	0	0
OFRAG00000000160.1	2.40768	1.19144
OFRAG00000000161.1	2.36939	1.59873
OFRAG00000000162.1	8.12137	4.47827
OFRAG00000000163.1	0.381983	0.0472736
OFRAG00000000164.1	5.17055	3.91887
OFRAG00000000165.1	0.267098	0.300886
OFRAG00000000166.1	10.9728	6.66516
OFRAG00000000167.1	3357.66	1652.73
OFRAG00000000168.1	56.6687	25.1518
OFRAG00000000169.1	14.2171	14.9862
OFRAG00000000170.1	2.31286	69.7794
OFRAG00000000171.1	0.346687	21.0284
OFRAG00000000172.1	2.79528	1.51339
OFRAG00000000173.1	0	0
OFRAG00000000174.1	0	0
OFRAG00000000175.1	0	0
OFRAG00000000176.1	0	0.0093593
OFRAG00000000177.1	0	0.00892351
OFRAG00000000178.1	0	0
OFRAG00000000179.1	0	0
OFRAG00000000180.1	11.1691	4.89588
OFRAG00000000181.1	0	0.476165
OFRAG00000000182.1	8.63649	9.03275
OFRAG00000000183.1	1.42809	36.7638
OFRAG00000000184.1	0.309458	27.1895
OFRAG00000000185.1	0.132887	16.8732
OFRAG00000000186.1	28.7385	12.1994
OFRAG00000000187.1	1908.35	631.766
OFRAG00000000188.1	18.4177	23.8276
OFRAG00000000189.1	9.01738	6.7103
OFRAG00000000190.1	0.216039	0.147708
OFRAG00000000191.1	0	0
OFRAG00000000192.1	0.108019	0.0738541
OFRAG00000000193.1	24.8516	11.5147
OFRAG00000000194.1	0.0571811	0.00449169
OFRAG00000000195.1	32.9254	8.66779
OFRAG00000000196.1	6.32557	7.21883
OFRAG00000000197.1	1.57943	0.248426
OFRAG00000000198.1	0.0179769	0.0313438
OFRAG00000000199.1	36.0865	7.47244
OFRAG00000000200.1	15.7781	8.28676
OFRAG00000000201.1	34.6436	21.2059
OFRAG00000000202.1	11.49	7.54523
OFRAG00000000203.1	21.5086	7.01191
OFRAG00000000204.1	91.8639	153.179
OFRAG00000000205.1	45.4804	16.1717
OFRAG00000000206.1	89.8424	69.8161
OFRAG00000000207.1	0.082533	9.59967
OFRAG00000000208.1	0.17632	0.204495
OFRAG00000000209.1	2.63468	0.449782
OFRAG00000000210.1	43.4217	11.6983
OFRAG00000000211.1	13.482	0.300482
OFRAG00000000212.1	10.5894	6.92612
OFRAG00000000213.1	0.0417326	0.221975
OFRAG00000000214.1	0.013723	0.0119287
OFRAG00000000215.1	3.39488	2.7913
OFRAG00000000216.1	141.05	17.2324
OFRAG00000000217.1	6.12986	0.91204
OFRAG00000000218.1	26.5737	15.3637
OFRAG00000000219.1	29.4774	10.3672
OFRAG00000000220.1	0.609579	3.21795
OFRAG00000000221.1	18.9843	4.02618
OFRAG00000000222.1	13.545	6.77773
OFRAG00000000223.1	5.67151	0.117638
OFRAG00000000224.1	24.6537	17.6674
OFRAG00000000225.1	2.83855	2.0213
OFRAG00000000226.1	15.1266	14.4818
OFRAG00000000227.1	318.85	92.1421
OFRAG00000000228.1	16.0745	4.50269
OFRAG00000000229.1	8.17362	0.0485817
OFRAG00000000230.1	1.3358	0.176336
OFRAG00000000231.1	6.34435	0.0306718
OFRAG00000000232.1	0	0
OFRAG00000000233.1	5.94733	0.00688692
OFRAG00000000234.1	0.00945599	0.0163911
OFRAG00000000235.1	1.22662	8.54267
OFRAG00000000235.2	0	3.37647
OFRAG00000000236.1	0.451739	0.654369
OFRAG00000000237.1	0	0
OFRAG00000000238.1	6.61095	3.04694
OFRAG00000000239.1	25.385	6.725
OFRAG00000000240.1	0	0
OFRAG00000000241.1	23.0251	13.5891
OFRAG00000000242.1	24.5409	12.2442
OFRAG00000000242.2	13.7482	11.1706
OFRAG00000000243.1	0.246689	0.171096
OFRAG00000000244.1	42.5717	149.03
OFRAG00000000245.1	1.50036	6.53871
OFRAG00000000246.1	0.928622	1.34437
OFRAG00000000247.1	0.581875	0.929479
OFRAG00000000248.1	0.786025	17.1682
OFRAG00000000249.1	69.7188	23.6383
OFRAG00000000250.1	23.5691	5.11926
OFRAG00000000251.1	12.7999	9.1411
OFRAG00000000252.1	8.58583	3.70824
OFRAG00000000253.1	0.123175	0
OFRAG00000000254.1	30.3115	0
OFRAG00000000255.1	0.0930582	0
OFRAG00000000256.1	0.243849	0
OFRAG00000000257.1	93.25	31.5397
OFRAG00000000258.1	0	0
OFRAG00000000259.1	0.0356965	0
OFRAG00000000260.1	5.4685	0.81238
OFRAG00000000261.1	51.2858	246.312
OFRAG00000000262.1	3.17977	0.420874
OFRAG00000000263.1	0	0
OFRAG00000000264.1	4.01781	0.246216
OFRAG00000000265.1	15.0675	7.52505
OFRAG00000000266.1	29.1572	7.61003
OFRAG00000000267.1	77.4757	23.4311
OFRAG00000000268.1	16.194	20.1277
OFRAG00000000269.1	2.59767	0.206097
OFRAG00000000270.1	0.29862	0.129774
OFRAG00000000271.1	6.62112	2.9259
OFRAG00000000272.1	0	0
OFRAG00000000273.1	0.228197	0.0475146
OFRAG00000000274.1	0.0540963	0.243183
OFRAG00000000275.1	0.289967	0
OFRAG00000000276.1	7.58973	3.70767
OFRAG00000000277.1	7.55408	4.08494
OFRAG00000000278.1	17.9695	4.74204
OFRAG00000000279.1	68.1594	32.036
OFRAG00000000280.1	3.12566	0.0596389
OFRAG00000000281.1	2.22329	0
OFRAG00000000282.1	0	0
OFRAG00000000283.1	21.4065	4.21874
OFRAG00000000284.1	16.6762	18.9699
OFRAG00000000285.1	7.1724	0.159111
OFRAG00000000286.1	0.0962235	0
OFRAG00000000287.1	3.50171	7.81933
OFRAG00000000288.1	0.0284606	0
OFRAG00000000289.1	0	0.0212998
OFRAG00000000290.1	74.5321	10.9492
OFRAG00000000291.1	18.3261	0.00829048
OFRAG00000000292.1	0.0316225	0.715744
OFRAG00000000293.1	7.40316	0.122982
OFRAG00000000294.1	1.97651	0.840419
OFRAG00000000295.1	0.817097	0.379888
OFRAG00000000296.1	11.9293	0.467242
OFRAG00000000297.1	11.1498	3.82025
OFRAG00000000298.1	173.818	48.4115
OFRAG00000000299.1	0.329342	0.0457234
OFRAG00000000300.1	2.00561	0
OFRAG00000000301.1	41.4553	46.9507
OFRAG00000000302.1	6.18674	8.07369
OFRAG00000000303.1	495.107	233.64
OFRAG00000000304.1	35.4614	56.4168
OFRAG00000000305.1	1.14131	0.470525
